1,0,5163
1,1,2753
1,2,1585
1,3,989
1,4,1259
1,5,5505
1,6,17018
1,7,36156
1,8,64041
1,9,49092
1,10,31659
1,11,31528
1,12,36183
1,13,39309
1,14,42309
1,15,44969
1,16,51919
1,17,71400
1,18,67558
1,19,44519
1,20,29593
1,21,20314
1,22,15010
1,23,9163
7,0,18600
7,1,10408
7,2,6133
7,3,3605
7,4,3762
7,5,11968
7,6,39141
7,7,78582
7,8,139061
7,9,114979
7,10,85132
7,11,89023
7,12,102709
7,13,111670
7,14,110872
7,15,115281
7,16,135976
7,17,182183
7,18,174433
7,19,133067
7,20,95905
7,21,67082
7,22,51148
7,23,32905
